User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
john.smith.machine,0.8258 (2),0.8211 (1),0.9557 (9),0.8366 (22),0.3483 (58),3.05 (200),18.40 (20),,2015-02-13 18:19:31+00:00,Final_submission.zip,False
asml.intel.com,0.8258 (2),0.8211 (1),0.9557 (9),0.8366 (22),0.3483 (58),3.04 (233),18.40 (20),,2015-02-13 18:29:49+00:00,FinalSubmission.zip,True
abhishek4,0.8192 (28),0.7947 (30),0.9420 (22),0.8502 (15),0.4520 (12),3.01 (351),21.40 (21),,2015-01-10 16:07:26+00:00,11.zip,True
aad_freiburg,0.8194 (25),0.8029 (16),0.9418 (23),0.8075 (37),0.4215 (14),3.31 (119),23.00 (22),,2015-01-22 15:04:59+00:00,submission.zip,False
aad_freiburg,0.8194 (25),0.8029 (16),0.9418 (23),0.8075 (37),0.4215 (14),14.27 (96),23.00 (22),,2015-01-23 10:23:31+00:00,submission_results.zip,False
abhishek4,0.8198 (22),0.7947 (30),0.8738 (43),0.8505 (13),0.4536 (11),3.07 (155),23.80 (23),,2015-01-09 17:23:34+00:00,res5.zip,False
abhishek4,0.8197 (23),0.7947 (30),0.8738 (43),0.8378 (21),0.5062 (9),2.93 (396),25.20 (24),,2015-01-09 12:30:00+00:00,res4.zip,False
abhishek4,0.8197 (23),0.7947 (30),0.8738 (43),0.8341 (24),0.5062 (9),3.04 (237),25.80 (25),,2015-01-09 15:15:35+00:00,res5.zip,False
john.smith.machine,0.8258 (2),0.8203 (2),0.9557 (9),0.8366 (22),0.0015 (100),3.05 (199),27.00 (26),,2015-02-11 10:51:21+00:00,john.smith.machine.zip,False
john.smith.machine,0.8211 (19),0.8211 (1),0.8740 (42),0.8158 (33),0.3498 (52),1203.37 (23),29.40 (27),,2015-02-13 14:23:38+00:00,sample_result_submission_15.zip,False
igor.chikalov,0.8253 (3),0.7861 (51),0.9481 (18),0.8608 (9),0.3099 (75),3.01 (339),31.20 (28),"cadata, lr = 0.02, classification = MART(1000), newsgroups binary MART(1000)",2015-01-03 14:32:42+00:00,submission_ideal_data7.zip,False
aad_freiburg,0.8194 (25),0.8029 (16),0.9418 (23),0.8570 (12),0.2777 (80),3.67 (114),31.20 (28),,2015-02-06 08:42:43+00:00,submission.zip,False
igor.chikalov,0.8253 (3),0.7884 (46),0.9484 (16),0.8716 (5),0.0488 (90),19.99 (94),32.00 (29),"cadata lr = 0.05, newsgroups = binary MART(lr =0.05), bin classification = MART(0.5,1000), classification = RF(1000)",2015-01-03 14:46:48+00:00,submission_ideal_data8.zip,False
abhishek4,0.8163 (39),0.7948 (29),0.8738 (43),0.8382 (20),0.3520 (36),3.07 (156),33.40 (30),,2015-01-08 18:50:03+00:00,Archive.zip,False
aad_freiburg,0.8195 (24),0.8028 (17),0.9100 (34),0.8362 (23),0.3209 (73),3.65 (116),34.20 (31),,2015-01-13 12:29:29+00:00,submission.zip,False
john.smith.machine,0.8258 (2),0.8203 (2),0.8712 (47),0.8366 (22),0.0015 (100),3.02 (302),34.60 (32),,2015-02-10 16:07:10+00:00,john.smith.machine.zip,False
Rong,0.8154 (54),0.7894 (41),0.8738 (43),0.8662 (6),0.3520 (36),3.10 (141),36.00 (33),,2015-02-13 06:41:22+00:00,lastrf_svm.zip,True
aad_freiburg,0.8194 (25),0.8029 (16),0.9418 (23),0.8075 (37),0.2777 (80),10.96 (98),36.20 (34),,2015-01-16 14:21:29+00:00,submission.zip,False
aad_freiburg,0.8194 (25),0.8029 (16),0.9418 (23),0.8075 (37),0.1597 (85),3.66 (115),37.20 (35),,2015-01-22 14:20:07+00:00,submission.zip,False
Rong,0.8154 (54),0.7867 (50),0.8738 (43),0.8662 (6),0.3520 (36),3.08 (149),37.80 (36),,2015-02-13 06:30:37+00:00,newrf_svm.zip,False
djajetic,0.8099 (81),0.7890 (42),0.9494 (12),0.7225 (48),0.4543 (10),1182.75 (39),38.60 (37),,2015-02-12 22:35:43+00:00,automl_sample_submission_15-02-12-23-31.zip,True
djajetic,0.8089 (84),0.7887 (43),0.9494 (13),0.7225 (48),0.4543 (10),1182.04 (40),39.60 (38),,2015-02-12 16:13:03+00:00,automl_sample_submission_15-02-12-17-09.zip,False
backstreet.bayes,0.8171 (32),0.7838 (93),0.8738 (43),0.8760 (4),0.3534 (29),120.50 (77),40.20 (39),With submission,2015-02-13 14:30:23+00:00,phase0_submission_15-02-13-14-28-19.zip,True
Rong,0.8154 (54),0.7844 (66),0.8738 (43),0.8662 (6),0.3520 (36),2.99 (371),41.00 (40),,2015-02-13 06:16:03+00:00,rfsvm1.zip,False
john.smith.machine,0.8258 (2),0.8203 (2),-1.0000 (69),0.8366 (22),-1.0000 (112),2.92 (403),41.40 (41),,2015-02-10 10:36:26+00:00,john.smith.machine.zip,False
john.smith.machine,0.8192 (27),0.8147 (10),0.9236 (32),0.8098 (36),-0.0011 (103),3.06 (161),41.60 (42),,2015-02-09 14:23:27+00:00,john.smith.machine.zip,False
djajetic,0.8163 (40),0.7847 (59),0.9428 (21),0.7013 (54),0.3521 (35),1147.53 (43),41.80 (43),first t,2015-02-07 17:46:26+00:00,automl_sample_submission_15-02-07-16-01.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),1.0000 (1),0.3520 (36),2.91 (413),42.00 (44),Submission #4: testing the accuracy of AUC script on dorothea dataset,2015-01-30 03:43:26+00:00,nada_129_dorothea_4.zip,False
jose,0.8235 (8),0.7841 (76),0.8738 (43),0.7202 (49),0.3520 (36),3.08 (148),42.40 (45),"Igual que la anterior, pero usando la imputación y dicotomización depurada para los datos Adult.",2015-02-03 17:51:15+00:00,submision_02_02_002.zip,True
jose,0.8229 (11),0.7841 (76),0.8738 (43),0.7202 (49),0.3520 (36),3.04 (240),43.00 (46),Los datos de Dorothea se reducen y se procesan con un Gradient Boosting.,2015-02-03 15:41:41+00:00,submission_02_02_001.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.8606 (10),0.3520 (36),3.04 (239),43.80 (47),Submission #6: dorothea data ,2015-01-30 19:47:07+00:00,nada_130_dorothea_6.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.8606 (10),0.3520 (36),3.03 (277),43.80 (47),cadata_1,2015-01-30 21:43:51+00:00,nada_130_dorothea_6.zip,False
jose,0.8229 (11),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (221),44.20 (48),"En lugar de con RF en tarea 1, se usa boosting",2015-01-30 16:29:18+00:00,submision_31_01_002.zip,False
jrl44,0.8160 (47),0.7843 (73),0.8156 (56),0.8503 (14),0.3529 (31),1241.40 (15),44.20 (48),Trying again,2015-02-13 10:09:10+00:00,phase0_submission_15-02-13-10-07-27.zip,True
john.smith.machine,0.8154 (54),0.7929 (34),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (215),44.40 (49),,2015-01-21 14:04:26+00:00,john.smith.machine.zip,False
john.smith.machine,0.8154 (54),0.7913 (38),0.8738 (43),0.7011 (55),0.3520 (36),2.87 (445),45.20 (50),,2015-01-21 14:09:34+00:00,john.smith.machine.zip,False
jose,0.8211 (18),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (345),45.60 (51),,2015-01-30 15:54:45+00:00,submision_31_01_001.zip,False
igor.chikalov,0.8228 (12),0.7744 (109),0.9492 (14),0.8608 (9),0.0627 (88),5.06 (106),46.40 (52),,2015-01-02 08:50:09+00:00,submission_ideal_data5.zip,False
danny7,0.8154 (54),0.7885 (44),0.8738 (43),0.7011 (55),0.3520 (36),3.11 (134),46.40 (52),,2015-02-13 16:30:11+00:00,rf7.zip,True
zaiwei,0.8154 (54),0.7885 (45),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (318),46.60 (53),cadata - 1.3 - RF.zip,2015-02-13 14:20:03+00:00,cadata - 1.3 - RF.zip,True
Muser_Hao,0.8154 (54),0.7876 (47),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (225),47.00 (54),,2015-02-12 17:55:22+00:00,submit.zip,False
Muser_Hao,0.8154 (54),0.7876 (47),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (299),47.00 (54),,2015-02-12 18:31:56+00:00,submit.zip,False
abhishek4,0.8176 (30),0.7947 (30),0.8738 (43),0.8378 (21),-1.0000 (112),3.06 (176),47.20 (55),,2015-01-09 11:17:13+00:00,res3.zip,False
danny7,0.8154 (54),0.7874 (48),0.8738 (43),0.7011 (55),0.3520 (36),3.11 (135),47.20 (55),,2015-02-13 06:04:16+00:00,rf6.zip,False
igor.chikalov,0.8253 (3),0.7384 (131),0.9484 (16),0.8608 (9),0.3030 (78),5.19 (105),47.40 (56),,2015-01-03 14:15:02+00:00,submission_ideal_data6.zip,False
Muser_Hao,0.8154 (54),0.7873 (49),0.8738 (43),0.7011 (55),0.3520 (36),2.86 (449),47.40 (56),,2015-02-13 15:26:43+00:00,try.zip,False
john.smith.machine,0.8104 (80),0.7950 (24),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (254),47.60 (57),,2015-01-22 11:50:45+00:00,john.smith.machine.zip,False
john.smith.machine,0.8096 (82),0.7951 (23),0.8738 (43),0.7011 (55),0.3520 (36),2.87 (444),47.80 (58),,2015-01-22 12:24:09+00:00,john.smith.machine.zip,False
john.smith.machine,0.8241 (6),0.7960 (21),0.9122 (33),0.1187 (71),-0.0530 (109),3.04 (230),48.00 (59),,2015-02-06 12:43:43+00:00,john.smith.machine.zip,False
Rong,0.8154 (54),0.7861 (52),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (368),48.00 (59),,2015-02-12 16:26:24+00:00,007.zip,False
Rong,0.8154 (54),0.7861 (52),0.8738 (43),0.7011 (55),0.3520 (36),2.91 (415),48.00 (59),,2015-02-12 16:50:22+00:00,007.zip,False
Muser_Hao,0.8154 (54),0.7853 (53),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (440),48.20 (60),,2015-02-13 15:32:57+00:00,submit.zip,False
Muser_Hao,0.8154 (54),0.7853 (54),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (271),48.40 (61),,2015-02-12 18:29:54+00:00,submit1.zip,False
john.smith.machine,0.8232 (10),0.7960 (21),0.9122 (33),0.1187 (71),-0.0530 (109),3.01 (343),48.80 (62),,2015-02-06 13:42:12+00:00,john.smith.machine.zip,False
john.smith.machine,0.8234 (9),0.7960 (22),0.9122 (33),0.1187 (71),-0.0530 (109),2.91 (417),48.80 (62),,2015-02-07 15:51:49+00:00,john.smith.machine.zip,False
guyon,0.8165 (35),0.7843 (72),0.8156 (56),0.7005 (59),0.3544 (24),969.79 (46),49.20 (63),new code v1,2015-02-07 07:14:11+00:00,sample_code_submission1.zip,True
john.smith.machine,0.8242 (5),0.8151 (9),-0.0015 (66),0.5803 (61),-0.0241 (105),2.88 (441),49.20 (63),,2015-02-10 07:29:54+00:00,john.smith.machine.zip,False
joyce,0.8152 (59),0.7849 (56),0.8156 (56),0.7011 (55),0.3558 (21),942.80 (61),49.40 (64),,2015-02-12 05:19:52+00:00,3.lasso.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.7834 (40),0.3520 (36),3.03 (249),49.80 (65),Submission #2: dorothea data set,2015-01-30 00:38:30+00:00,nada_129_dorothea_2.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.7834 (40),0.3520 (36),3.03 (275),49.80 (65),Submission #5: re-submitting the best so far (nada_129_dorothea_2.zip),2015-01-30 03:50:58+00:00,nada_129_dorothea_5.zip,False
Rong,0.8154 (54),0.7844 (66),0.8738 (43),0.7192 (51),0.3520 (36),3.08 (151),50.00 (66),,2015-02-13 05:33:45+00:00,008003.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.7669 (43),0.3520 (36),2.89 (430),50.40 (67),Submission #1: for dorothea data set only.,2015-01-29 23:15:07+00:00,nada_129_dorothea.zip,False
nada,0.8154 (54),0.7841 (76),0.8738 (43),0.7582 (45),0.3520 (36),3.03 (269),50.80 (68),Submission #2: 1/29 dorothea data set,2015-01-30 02:34:47+00:00,nada_129_dorothea_3.zip,False
Rong,0.8154 (54),0.7844 (66),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (329),50.80 (68),,2015-02-12 16:48:47+00:00,008.zip,False
wsmath1234,0.8162 (42),0.7847 (58),0.8156 (56),0.7011 (55),0.3507 (45),942.42 (62),51.20 (69),,2015-02-12 20:34:58+00:00,sample_code_submission.zip,True
nada,0.8154 (54),0.7643 (114),0.8738 (43),0.8606 (10),0.3520 (36),2.99 (372),51.40 (70),cadata_2,2015-01-31 00:28:14+00:00,nada_130_cadata_2.zip,True
Rong,0.8154 (54),0.7844 (66),0.8738 (43),0.3697 (63),0.3520 (36),2.88 (436),52.40 (71),,2015-02-13 04:53:19+00:00,008001.zip,False
reference,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.44 (463),52.80 (72),Result submission,2014-12-09 00:01:38+00:00,sample_result_submission.zip,False
