Sumlev,Region,Division,State,Name,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012
040,3,5,45,South Carolina,4625364,4635835,4673348,4723723,10471,37513,50375,0.2263821831,0.8091961858,1.0779210108,24,24,24,24,17,15,12,20,19,13
040,3,5,51,Virginia,8001031,8025105,8104384,8185867,24074,79279,81483,0.3008862233,0.9878873859,1.0054187956,12,12,12,12,5,8,7,6,11,17
040,3,5,54,West Virginia,1852999,1854019,1854908,1855413,1020,889,505,0.0550459013,0.0479498862,0.0272250699,37,37,37,38,45,48,49,44,48,49
040,3,6,01,Alabama,4779745,4784762,4803689,4822023,5017,18927,18334,0.1049637585,0.3955682644,0.3816650079,23,23,23,23,29,26,24,38,37,31
040,3,6,21,Kentucky,4339357,4346655,4366814,4380415,7298,20159,13601,0.1681815993,0.4637819197,0.3114627735,26,26,26,26,21,24,30,28,33,38
040,3,6,28,Mississippi,2967299,2969137,2977457,2984926,1838,8320,7469,0.0619418535,0.2802161032,0.2508516496,31,31,31,31,41,40,42,43,41,40
040,3,6,47,Tennessee,6346113,6356673,6399787,6456243,10560,43114,56456,0.166401071,0.6782478822,0.8821543592,17,17,17,17,16,13,11,29,24,20
040,3,7,05,Arkansas,2915919,2922750,2938582,2949131,6831,15832,10549,0.2342657666,0.5416816354,0.3589826658,32,32,32,32,24,28,35,18,30,32
040,3,7,22,Louisiana,4533372,4544125,4574766,4601893,10753,30641,27127,0.2371965063,0.6742992325,0.5929702197,25,25,25,25,15,19,21,17,25,28
040,3,7,40,Oklahoma,3751354,3759482,3784163,3814820,8128,24681,30657,0.2166684349,0.6565000178,0.8101395209,28,28,28,28,20,22,19,21,28,21
040,3,7,48,Texas,25145561,25242683,25631778,26059203,97122,389095,427425,0.3862391457,1.5414169722,1.6675589185,2,2,2,2,1,1,1,4,2,3
040,4,8,04,Arizona,6392015,6410810,6467315,6553255,18795,56505,85940,0.2940387343,0.8814018821,1.3288358461,16,16,16,15,10,10,6,7,17,8
040,4,8,08,Colorado,5029196,5048472,5116302,5187582,19276,67830,71280,0.3832819401,1.343574848,1.393193756,22,22,22,22,8,9,9,5,6,7
040,4,8,16,Idaho,1567652,1570784,1583744,1595728,3132,12960,11984,0.1997892389,0.8250656997,0.7566879496,39,39,39,39,36,33,34,25,18,24
040,4,8,30,Montana,989417,990735,997667,1005141,1318,6932,7474,0.1332097589,0.6996825589,0.7491477617,44,44,44,44,44,43,41,30,21,25
040,4,8,32,Nevada,2700552,2703758,2720028,2758931,3206,16270,38903,0.1187164698,0.6017550387,1.4302426299,35,35,35,35,35,27,16,35,29,6
040,4,8,35,New Mexico,2059180,2064767,2078674,2085538,5587,13907,6864,0.271321594,0.6735384671,0.3302105092,36,36,36,36,28,30,43,11,26,35
040,4,8,49,Utah,2763885,2775093,2814347,2855287,11208,39254,40940,0.4055161485,1.4145111533,1.4546891339,34,34,34,34,14,14,14,3,4,5
040,4,8,56,Wyoming,563626,564367,567356,576412,741,2989,9056,0.1314701593,0.5296199104,1.596175946,51,51,51,51,46,44,38,31,31,4
040,4,9,02,Alaska,710231,714046,723860,731449,3815,9814,7589,0.537149181,1.3744212558,1.0484071506,47,47,47,47,31,39,40,2,5,14
040,4,9,06,California,37253956,37334410,37683933,38041430,80454,349523,357497,0.2159609573,0.9361953222,0.94867221,1,1,1,1,2,2,2,22,13,19
040,4,9,15,Hawaii,1360301,1364274,1378129,1392313,3973,13855,14184,0.2920677115,1.0155584582,1.0292215025,40,40,40,40,30,31,29,8,9,16
040,4,9,41,Oregon,3831073,3838212,3868229,3899353,7139,30017,31124,0.1863446611,0.7820568536,0.8046059321,27,27,27,27,23,20,18,26,20,22
040,4,9,53,Washington,6724543,6743636,6823267,6897012,19093,79631,73745,0.2839300752,1.1808318243,1.0807872534,13,13,13,13,9,7,8,9,8,12
040,X,X,72,Puerto Rico,3725789,3721208,3694093,3667084,-4581,-27115,-27009,-0.122953823,-0.72866123,-0.731140228,,,,,,,,,,
